en	kw
I don't want to see that.	Ny vynnav vy gweles henna.
He is my father.	Ow thas yw.
How old are you?	Pes bloodh os ta?
Is this a river?	Yw homma avon?
Fuck off!	Kyj dhe-ves!
The weather is beautiful today.	Teg yw an gewer hedhyw.
This is my daughter.	Ow myrgh yw homma.
I came to kill him.	My a dheuth dh’y ladha.
Is this OK?	Yw hemma da lowr?
We don't need to hurry.	Nyns yw res dhyn fistena.
She likes to read books.	Da yw gensi redya lyvrow.
You have many books.	Yma dhis lies lyver.
I don't like beef.	Nyns yw da genev kig bewin.
Come outside.	Deus yn-mes.
I found Tony.	My a gavas Tony.
I leave tomorrow.	My a dhiberth a-vorow.
I don't want to dance.	Ny vynnav vy donsya.
He is going to help you.	Ev a vynn dha weres.
You must wait.	Res yw dhis gortos.
Where are your children?	Ple'ma agas fleghes?
Tom doesn't like the idea.	Nyns yw da gans Tom an tybyans.
I was not as strong as my father.	Nyns en vy mar grev avel ow thas.
You're hungry.	Yma nown dhis.
Five plus three is eight.	Pymp ha tri yw eth.
What'll the weather be like tomorrow?	Fatel vydh an gewer a-vorow?
What's its name?	Pyth yw y hanow?
They don't have to know.	Nyns yw res dhedha godvos.
She was as pretty as a primrose.	Hi o mar deg avel brialli.
There is someone in this room.	Yma nebonan y’n stevel-ma.
When I woke up, I was in the car.	Pan dhifunis, yth esen y’n karr-tan.
It rained.	Hi a wrug glaw.
I can't drive yet.	Ny allav vy lewya hwath.
They fixed it.	I a’n ewnas.
You can't do that.	Ny yll'ta gul henna.
It's raining again.	Yma hi ow kul glaw arta.
He writes books.	Ev a skrif lyvrow.
Yes, it does.	Gwra.
Mary wasn't there.	Nyns esa Maria ena.
Let's go to Boston.	Deun dhe Boston.
I like spring.	Da yw genev gwenton.
I sleep in my room.	My a gosk y’m chambour.
She likes nobody and nobody likes her.	Ny gar hi den vyth ha ny’s kar den vyth.
Tom hates school.	Kas yw gans Tom skol.
Tom doesn't like eggs.	Nyns yw da gans Tom oyow.
I hate this city.	Kas yw genev an cita ma.
He used to live here.	Ev a wre triga omma.
Raspberries are very expensive.	Avan yw pur gostek.
We're trying.	Yth eson ni owth assaya.
He is wasting time.	Yma va ow skollya termyn.
The dog is eating its food.	Yma an ki ow tybri y voos.
I'm going.	Yth esov vy ow mos.
Do I have to eat with them?	Yw res dhymm dybri gansa?
I met Mary yesterday.	My a vetyas orth Maria de.
I own one cat and one dog.	Yma dhymm unn gath hag unn ki.
The dog wants to leave.	An ki a vynn diberth.
Hurry!	Fisten!
I hate football.	Kas yw genev pel droos.
Tom bought a new car.	Tom a brenas carr-tan nowydh.
The chough is similar to a blackbird.	An balores yw haval orth molgh dhu.
I was hungry.	Yth esa nown dhymm.
Why?	Prag?
If you smile, I'll be happy.	Mar minhwerthydh, lowen vedhav.
I will have to study tomorrow.	Res vydh dhymm studhya a-vorow.
I like that dog.	Da yw genev an ki na.
They didn't like Tom.	Nyns yw da gansa Tom.
Where is the hospital?	Ple'ma an klavji?
That's my sister.	Honn yw ow hwor.
I don't drink their water.	Ny evav aga dowr.
They're dancing.	Yth esons i ow tonsya.
She is thirty-one.	Hi yw unnek bloodh warn ugens.
Where is the bathroom?	Ple'ma an stevel-omwolghi?
I have a big dog.	Yma ki bras dhymm.
It will snow tomorrow.	Y hwra ergh a-vorow.
I don't want to work.	Ny vynnav oberi.
The weather is sunny.	Howlyek yw an gewer.
She is beautiful.	Teg yw hi.
Jorge can speak four languages.	Jori a wor kewsel peder yeth.
Tom doesn't like to eat fish.	Nyns yw da gans Tom dybri pysk.
This is your house.	Hemm yw dha ji.
The boy was tired.	Skwith o an maw.
I can't go back.	Ny allav vy mos arta.
Where's your bag?	Ple’ma dha sagh?
I have been speaking Spanish.	My re bia ow kewsel Spaynek.
I see the boy.	My a wel an maw.
You must try this.	Res yw dhis assaya hemma.
You didn't have to do that.	Nyns o res dhis gul henna.
He shouted for help.	Ev a armas rag gweres.
He had to stay in bed.	Res o dhodho gortos yn gweli.
I see your cat in the garden.	My a wel dha gath y’n lowarth.
Do I have to eat with her?	Yw res dhymm dybri gensi?
Those houses are big.	An chiow na yw bras.
May I use this pen?	A allav vy usya an bluven ma?
This sentence hasn't yet been translated.	Ny veu an lavar-ma treylys whath.
Listen to me!	Goslow orthiv!
Is this French?	Yw hemma frynkek?
I need to study.	Res yw dhymm studhya.
What is this?	Pyth yw hemma?
I still want to be here.	My a vynn hwath bos omma.
Tom is cleaning his room.	Yma Tom ow klanhe y stevel.
We didn't have to wait.	Nyns o res dhyn gortos.
Who's your teacher?	Piw yw dha dhyskador?
I'm speaking.	Yth esov vy ow kewsel.
I don't like fish.	Nyns yw da genev pysk.
We used to live here.	Ni a wre triga omma.
The cat is hiding under the couch.	Yma’n gath owth omgudha yn-dann an gweli-dydh.
I have to leave now.	Res yw dhymm diberth lemmyn.
I am not studying.	Nyns esov vy ow studhya.
I don't like that.	Nyns yw da genev henna.
I was sleeping.	Yth esen vy ow koska.
Must I do it now?	Yw res dhymm y wul lemmyn?
She likes to drink.	Da yw gensi eva.
You have to go now.	Res yw dhis mos lemmyn.
Do we have to go now?	Yw res dhyn mos lemmyn?
I don't like this one.	Nyns yw da genev an onan ma.
You must leave.	Res yw dhis diberth.
Where is the dog?	Ple'ma an ki?
Does he have a dog?	Eus ki dhodho?
Please.	Mar pleg.
I can't eat this.	Ny allav vy dybri hemma.
The sky is red.	Rudh yw an ebron.
Who was that girl?	Piw o an vowes na?
You have to listen to us.	Res yw dhis goslowes orthyn.
I don't want to see it.	Ny vynnav vy y weles.
You have to try!	Res yw dhis assaya!
Take care!	Kemmer with!
Who teaches you?	Piw a dhysk dhywgh?
Do you like women?	Yw da genes benenes?
I forgot.	My a ankovas.
She is late.	Diwedhes yw.
This is her handbag.	Homm yw hy thigen.
She wanted to travel.	Hi a vynnas viajya.
The woman cried when she heard the bad news.	An venyn a olas pan glewas an yeyn-nowodhow.
We're eating apples.	Yth eson ni ow tybri avalow.
Do I have to come home now?	Yw res dhymm dos tre lemmyn?
We could do this.	Ni a allas gul hemma.
We had to do it again.	Res o dhyn y wul arta
I don't know that.	Ny wonn henna.
Do I have to do anything more?	Yw res dhymm gul neppyth moy?
These are daisies.	An re ma yw borelesyow.
Is she your mother?	Yw hi dha vamm?
Mary likes snow.	Da yw gans Mary ergh.
We're surprised.	Yma marth dhyn.
What is it?	Pyth yw?
This dog is big.	An ki ma yw bras.
Do we need to do this again?	Yw res dhyn gul hemma arta?
Where is the book?	Ple'ma an lyver?
Is this her umbrella?	Yw homma hy glawlen?
I must meet Tom.	Res yw dhymm metya Tom.
Pirates are cruel.	Garow yw morladron.
You run.	Ty a boon.
You need to go now.	Res yw dhis mos lemmyn.
Do you need bread, sausage and cheese?	Eus edhom dhis a vara, a selsig hag a geus?
We have to speak.	Res yw dhyn kewsel.
Is the sky blue? Yes.	Yw an ebron glas? Yw.
I can't hear very well.	Ny allav vy klewes yn ta.
I'd like some more water.	My a garsa kavos nebes moy a dhowr.
We need to know.	Res yw dhyn godhvos.
You'll have to take this bicycle.	Res vydh dhis kemeres an dhiwros ma.
Take the dog for a walk.	Kemmer an ki rag kerdh.
I must help my mother.	Res yw dhymm gweres ow mamm.
Be quiet!	Bydh kosel!
You must come here tomorrow.	Res yw dhis dos omma a-vorow.
Has Tom told Mary that he's married?	A leveris Tom dhe Varia y vos demedhys?
I would like some more water.	My a garsa kavos nebes moy a dhowr.
I'm listening.	Yth esov vy ow koslowes.
I know those women.	My a aswon an benenes na.
I am reading a book.	Yth esov vy ow redya lyver.
Did you like the book?	O da genes an lyver?
You must stay.	Res yw dhis gortos.
I can't find the newspaper.	Ny allav kavos an paper-nowodhow.
I prefer red.	Gwell yw genev rudh.
Please forgive me.	Gav dhymm, mar pleg.
It may rain soon.	Martesen y hwra glaw kyns pell.
Do you want to kill me?	A vyn’ta ow ladha?
Is that enough?	Yw henna lowr?
I don't like animals.	Nyns yw da genev enevales.
I've been waiting for her.	My re bia ow kortos rygdhi.
Hello!	Hou!
Forgive me.	Gav dhymm.
Don't smoke in bed.	Na wra megi y’n gweli!
It is bad weather.	Kewer drog yw.
Speaking English is not easy.	Nyns yw es kewsel Sowsnek.
I must do it now.	Res yw dhymm y wul lemmyn.
I don't like summer.	Nyns yw da genev hav.
This is a horse.	Margh yw hemma.
This is Ken's dog.	Ki Ken yw hemma.
Everybody knows that.	Pubonan a wor henna.
I've got a book.	Yma genev lyver.
If it were Sunday today, we would go fishing.	Mar pe dy’Sul hedhyw, ni a wrussa mos dhe byskessa.
I used to smoke.	My a wre megi.
I love my mother.	My a gar ow mamm.
Mary likes watching TV.	Da yw gans Maria mires orth an bellwolok.
You must sell it.	Res yw dhis y wertha.
This is the last train.	Hemm yw an diwettha tren.
I don't believe in God.	Ny grysav yn Duw.
I was trying to help.	Yth esen vy owth assaya gweres.
He is my friend.	Ow hothman yw.
They have to answer the question.	Res yw dhedha gorthebi an govyn.
I don't want to go back.	Ny vynnav vy mos arta.
We know.	Ni a wor.
I own a computer.	My a bew jynn-amontya.
Do we have to take the bus?	Yw res dhyn kemeres an kyttrin?
I'll have to do that.	Res vydh dhymm gul henna.
You must eat something.	Res yw dhis dybri neppyth.
They didn't need to come.	Nyns o res dhedha dos.
Don't you like Tom?	A nyns yw da genes Tom?
I need to know now.	Res yw dhymm godhvos lemmyn.
We need to start.	Res yw dhyn dalleth.
There are no oranges on the table.	Nyns eus owravalow war an voos.
I have a cold.	Yma anwos warnav.
Who are those children?	Piw yw an fleghes na?
He must leave now.	Res yw dhodho diberth lemmyn.
I used to eat meat.	My a wre dybri kig.
I still want to come.	My a vynn hwath dos.
I'm rich.	Rych ov.
Good morning, everybody.	Myttin da, oll an bys!
Wait!	Gorta!
I must have this.	Res yw dhymm kavos hemma.
Is this our hotel?	Yw homma agan ostel?
Excellent!	Bryntin!
Where did you see her?	Ple y’s gwelsys?
I do not have to study Japanese.	Nyns yw res dhymm studhya Nihonek.
Who was that?	Piw o henna?
Can I go out of the room?	A allav vy mos yn-mes a’n stevel?
That's wet.	Henn yw glyb.
I can't work today.	Ny allav vy oberi hedhyw.
This is a dog.	Hemm yw ki.
Is that your dog over there?	Yw henna dha gi yn-hons?
I don't want to go to school.	Ny vynnav vy mos dhe'n skol.
I'm not tired.	Nyns ov skwith.
Good job!	Ober da!
You can't know that.	Ny yll'ta godhvos henna.
I hated school.	Kas o genev skol.
The weather was rainy.	Glawek o an gewer.
I was working.	Yth esen vy owth oberi.
Today is Thursday.	dy'Yow yw hedhyw.
How beautiful you are!	Ass os ta teg!
"Tom, say to me, please ... - ""Please!"""	“Tomm, lavar dhymm, mar pleg …” – “Mar pleg!”
You need to listen.	Res yw dhis goslowes.
I need to win.	Res yw dhymm gwaynya.
They don't like to dance.	Nyns yw da gansa donsya.
Does she have money?	Eus mona dhedhi?
She likes coffee.	Da yw gensi koffi.
They don't want to come.	Ny vynnons dos.
Where's my brother?	Ple'ma ow broder?
She's hungry and thirsty.	Yma nown ha seghes dhedhi.
I have to go back.	Res yw dhymm mos arta.
The birds are singing.	Yma’n ydhyn ow kana.
I liked this film.	Da o genev an fylm ma.
I have been studying English for four years.	My re bia ow studhya Sowsnek rag peswar bledhen.
They dream.	I a hunrosas.
I don't like cheese.	Nyns yw da genev keus.
She likes that dog.	Da yw gensi an ki na.
Good luck.	Chons da.
He wants to go.	Ev a vynn mos.
She hated her husband.	Kas o gensi hy gour.
The exam was difficult.	Kales o an apposyans.
We don't need to be here.	Nyns yw res dhyn bos omma.
I don't want to buy it.	Ny vynnav vy y brena.
Do you see a queen?	A welydh myghternes?
I don't have four brothers.	Nyns eus peswar broder dhymm.
He's reading.	Yma ev ow redya.
I'm learning.	Yth esov vy ow tyski.
Do it yourself.	Gwra e’ dha honan.
Those are hounds.	An re na yw helgi.
She didn't give me anything.	Ny ros hi dhymm tra vyth.
Good day!	Dydh da!
That is ugly.	Henn yw hager.
He was surprised too.	Yth esa marth dhodho ynwedh.
You need to come.	Res yw dhis dos.
I prefer dogs.	Gwell yw genev keun.
The weather is terrible.	Euthyk yw an gewer.
Tom doesn't like cats.	Nyns yw da gans Tom kathes.
I like to walk.	Da yw genev kerdhes.
I cannot understand it.	Ny allav y gonvedhes.
My aunt has three children.	Yma dhe’m modrep tri flogh.
She knows how to speak Spanish.	Hi a wor kewsel Spaynek.
I live in Hyogo.	Trigys ov vy yn Hyogo.
It is wet.	Glyb yw hi.
John is my nephew.	Yowann yw ow noy.
What color are those?	Py liw yw an re na?
You like apples.	Da yw genes avalow.
The weather is good.	Da yw an gewer.
My dogs are white.	Gwynn yw ow heun.
I'm sleepy!	Skwith ov vy!
Who broke this?	Piw a dorras hemma?
I like tea.	Da yw genev te.
Tea, please.	Te, mar pleg.
I am a student.	Studhyer ov.
I am loved by my mother.	Kerys ov gans ow mamm.
I want to buy.	My a vynn prena.
I don't have to do that.	Nyns yw res dhymm gul henna.
We could start again.	Ni a allas dalleth arta.
I like to read books.	Da yw genev redya lyvrow.
I was thirsty.	Yth esa seghes dhymm.
Is this your bicycle?	Yw hemma dha dhiwros?
I have to work today.	Res yw dhymm oberi a-vorow.
Don't you like parties?	A nyns yw da genes kevewiow?
I gave the books to this student.	My a ros an lyvrow dhe’n studhyer ma.
We own a dog and a cat.	Yma ki ha kath dhyn.
Ottawa is the capital of Canada.	Ottawa yw penncita Canada.
I see the dog.	My a wel an ki.
Do you like this band?	Yw da genes an bagas ma?
How's the weather there?	Fatel yw an gewer ena?
What must you do?	Pyth yw res dhis y wul?
I want an apple.	My a vynn kavos aval.
Why did you do that?	Prag y hwruss’ta henna?
I was in school.	Yth esen vy yn skol.
I like horses.	Da yw genev mergh.
I prefer black.	Gwell yw genev du.
You must stop.	Res yw dhis hedhi.
Jane seems to have a new boyfriend.	Yma karer nowydh dhe Jane, dell hevel.
I wanted five pineapples.	My a vynnas pymp pinaval.
This is sweet.	Hweg yw hemma.
This apple is bad.	Drog yw an aval ma.
This story is true.	An hwedhel ma yw gwir.
We hate parties.	Kas yw genen kevewiow.
That castle is beautiful.	Teg yw an kastel na.
Never did I tell her that I loved her.	Bythkweth ny leveris dhedhi my dh’y hara.
Where is Cornwall?	Ple’ma Kernow?
Do you want to drink coffee?	A vyn’ta eva koffi?
They like their job.	Da yw gansa aga oberen.
You need to listen to them.	Res yw dhis goslowes orta.
Hello, girls.	Dydh da, mowesi.
Have you heard about the accident?	A wruss’ta goslowes a-dro dhe’n droglam?
I have to stop.	Res yw dhymm hedhi.
I couldn't hear Tom.	Ny yllyn klewes Tom.
We need to do this.	Res yw dhyn gul hemma.
The sun is yellow.	Melyn yw an howl.
I am not working.	Nyns esov vy owth oberi.
I have to go to bed.	Res yw dhymm mos dhe’n gweli.
We have to try.	Res yw dhyn assaya.
Tom doesn't like fish.	Nyns yw da gans Tom pysk.
Tom walks his dog every morning.	Tom a kerdh y gi pub myttin.
"Do you want to buy it? ""Yes."""	“A vyn’ta y brena?” “Mynnav.”
Where is Britney Spears?	Ple’ma Britney Spears?
She was looking at him.	Yth esa hi ow mires orto.
Tom knows.	Tom a wor.
What kind of dog is it?	Py par ki yw?
I can't go home.	Ny allav vy mos tre.
Tom doesn't understand French.	Ny gonvedh Tom Frynkek.
That book is a new book.	Lyver nowyth yw an lyver na.
I'm waiting.	Yth esov vy ow kortos.
I hate soccer.	Kas yw genev pel droos.
She wants to dance.	Hi a vynn donsya.
I can't remember that.	Ny allav vy perthi kov henna.
They like beans.	Da yw gansa fav.
Tom hates dogs.	Kas yw gans Tom keun.
You don't have to go inside.	Nyns yw res dhis mos a-ji.
I want snow.	My a vynn kavos ergh.
We don't want to do this.	Ny vynnyn ni gul hemma.
Is that coffee?	Yw henna koffi?
I wrote this book.	My a skrifas an lyver ma.
We have to do it.	Res yw dhyn y wul.
She didn't need to go to the meeting.	Nyns o res dhedhi mos dhe'n kuntelles.
She likes money.	Da yw gensi arghans.
Why do you need to do that?	Prag yth yw res dhis gul henna?
I must be there.	Res yw dhymm bos ena.
When you smile, I am happy.	Pan vinhwerthydh, lowen ov vy.
They are going.	Yth esons i ow mos.
Is this my passport?	Yw hemma ow thremengummyas?
The boy is eating bread.	Yma’n maw ow tybri bara.
I can't read yet.	Ny allav vy redya hwath.
I hate this carpet.	Kas yw genev an leurlen ma.
There's a cat on the table.	Yma kath war'n voos.
I like cats.	Da yw genev kathes.
Tom's wounded.	Goliys yw Tom.
I received a letter from her.	My a dhegemeras lyther dhyworti.
Tom went to buy dog food.	Tom eth prena boos ki.
Yes, she will.	Mynn.
We're trying to study here.	Yth eson ni owth assaya studhya omma.
Do we have to do this now?	Yw res dhyn gul hemma lemmyn?
I have a terrible headache!	Yma drog penn euthyk dhymm!
I want to dance.	My a vynn donsya.
They're waiting.	Yth esons i ow kortos.
I hate the weather here.	Kas yw genev an gewer omma.
This is our living room.	Homm yw agan esedhva.
We considered that.	Ni a brederis henna.
Why do you want to learn French?	Prag y fynn'ta dyski Frynkek?
We're listening.	Yth eson ni ow koslowes.
I ran inside.	My a bonyas a-ji.
Don't read in this room.	Na red y’n stevel-ma.
The sky was blue.	Glas o an ebron.
You'll have to come with us.	Res vydh dhis dos genen.
Where is your school?	Ple’ma dha skol?
Look, it's snowing!	Ott, yma hi ow kul ergh!
You must start soon.	Res yw dhis dalleth skon.
Where was the police?	Ple'th esa an kreslu?
Do you like dinosaurs?	Yw da genes arghpedrevanes?
Do I have to do anything?	Yw res dhymm gul neppyth?
The room is quite small.	Byghan lowr yw an stevel.
"Is she young? ""Yes."""	Yw hi yowynk? Yw.
The sun is shining.	Yma’n howl ow splanna.
I must continue.	Res yw dhymm pesya.
Who's he?	Piw yw ev?
I still want to see you tomorrow.	My a vynn hwath dha weles a-vorow.
They like the idea.	Da yw gansa an tybyans.
What's this dog's name?	Pyth yw hanow an ki ma?
I have three brothers.	Yma tri broder dhymm.
Tom's not in hospital.	Nyns usi Tom y’n klavji.
You broke it.	Ty a wrug y derri.
She likes these cats.	Da yw gensi an gathes ma.
Is this true?	Yw hemma gwir?
They hate parties.	Kas yw gansa kevewiow.
They must stay.	Res yw dhedha gortos.
He is similar to your brother.	Ev yw haval orth dha vroder.
Do you love my sister?	A gerydh ow hwor?
You must study more.	Res yw dhis studhya moy.
This is a map.	Mappa yw hemma.
He could do it.	Ev a allsa y wul.
I have to try.	Res yw dhymm assaya.
We have two television sets.	Yma diw bellwolok dhyn.
I've seen it.	My re welas henna.
I love you.	My a’th kar.
I hate those things.	Kas yw genev an traow na.
They're trying.	Yth esons i owth assaya.
It's snowing.	Yma hi ow kul ergh.
I like girls.	Da yw genev mowesi.
You don't need to go.	Nyns yw res dhis mos.
It is a small dog.	Ki byghan yw.
I was eating dinner.	Yth esen vy ow tybri kinnyow.
He needs to come.	Res yw dhodho dos.
I'm really sorry!	Pur dhrog yw genev!
Where did you see them?	Ple y’s gwelsys?
This desk is good.	Da yw an desk ma.
I like to sing.	Da yw genev kana.
You can't ride a horse.	Ny yll'ta marhogeth margh.
The otter was playing in the river.	Yth esa an dowrgi ow kwari y'n avon.
Thank you!	Meur ras!
I hated the idea.	Kas o genev an tybyans.
I have to do this.	Res yw dhymm gul hemma.
The water was too hot yesterday.	An dowr o re domm de.
You must go.	Res yw dhis mos.
Is my answer correct?	Yw ow gorthyp ewn?
I am tired.	Skwith ov.
I must wait here.	Res yw dhymm gortos omma.
I hate this music.	Kas yw genev an ilow ma.
They want to stay.	I a vynn gortos.
I don't like big dogs.	Nyns yw da genev keun bras.
I have a headache this morning.	Yma drog penn dhymm an myttin ma.
Cornwall is a Celtic country.	Kernow yw bro geltek.
I dislike cold weather.	Drog yw genev kewer yeyn.
Do you like horses?	Yw da genes mergh?
I still want to do that with you.	My a vynn hwath gul henna genes.
I prepared breakfast for him.	My a bareusis hansel ragdho.
I'm coming.	Yth esov vy ow tos.
I am coming today.	Yth esov vy ow tos hedhyw.
You're beautiful.	Teg os ta.
He was displeased with his neighbor.	Ev o drog pes gans y gentrevek.
What is the weather like?	Fatel yw an gewer?
Helen is seventeen years old.	Seytek bloodh yw Helen.
I still need to talk to her.	Res yw dhymm hwath kewsel orti.
Continue your story.	Pes dha hwedhel.
I'd like to speak to Judy.	My a garsa kewsel orth Judy.
Do you have to go now?	Yw res dhis mos lemmyn?
You have to leave.	Res yw dhis diberth.
This coffee is not hot enough.	Nyns yw tomm lowr an koffi-ma.
I hate parties.	Kas yw genev kevewiow.
I used to work for him.	My a wre oberi ragdho.
I like clothes.	Da yw genev dillas.
They spoke French.	I a gewsi Frynkek.
I like to eat meat.	Da yw genev dybri kig.
It's quarter past six.	Kwarter wosa hwegh eur yw.
I'm Tom's grandmother.	Mamm wynn Tomm ov.
I hate the winter.	Kas yw genev an gwav.
I slept.	My a goskas.
You came at five.	Ty a wra dos dhe bymp eur.
He could speak French.	Ev a allas kewsel Frynkek.
These dogs are big.	Bras yw an keun ma.
I'm Tom's mother.	Mamm Tomm ov vy.
I can't go out.	Ny allav vy mos yn-mes.
Where can I buy a surfboard?	Ple hallav prena astel omborth?
What's your name?	Pyth yw dha hanow?
This dog is white.	Gwynn yw an ki ma.
I can't sleep well.	Ny allav koska yn ta.
We'll have to do that, too.	Res vydh dhyn gul henna, ynwedh.
I can't drink milk.	Ny allav vy eva leth.
You are watching.	Yth esos ta ow mires orth.
I like to read.	Da yw genev redya.
He isn't hungry.	Nyns yw gwag.
She doesn't like coffee.	Nyns yw da gensi koffi.
The sun was shining.	Yth esa an howl ow splanna.
You're a beautiful woman.	Benyn deg os.
She doesn't like Tom's dog.	Nyns yw da gensi ki Tom.
It snowed yesterday.	Hi a wrug ergh de.
I prefer to read.	Gwell yw genev redya.
I have been reading this book.	My re bia ow redya an lyver ma.
I don't want to go out.	Ny vynnav vy mos yn-mes.
Who's she?	Piw yw hi?
Can you help me?	A yll’ta ow gweres?
I go to school every morning.	My a dhe’n skol pub myttin.
You didn't have to do this.	Nyns o res dhis gul hemma.
I like black.	Da yw genev du.
They're not hungry.	Nyns eus dhedha nown.
I study.	My a studh.
Where is the toilet?	Ple'ma an bisva?
Dogs can swim.	Keun a yll neuvya.
You can't do it.	Ny yll'ta y wul.
I love Australia.	My a gar Ostrali.
It may rain before long.	Martesen y hwra glaw kyns pell.
You'll have to wait.	Res vydh dhis gortos.
He likes snow.	Da yw ganso ergh.
Tom can't help you now.	Ny yll Tom dha weres lemmyn.
You don't want to do this.	Ny vynn'ta gul hemma.
I must leave early tomorrow.	Res yw dhymm diberth a-varr a-vorow.
It's hot.	Tomm yw.
That was beautiful.	Teg o henna.
I can't remember now.	Ny allav vy perthi kov lemmyn.
I hate music.	Kas yw genev ilow.
We must help.	Res yw dhyn gweres.
I hate this place.	Kas yw genev an le ma.
I didn't need to go to Germany.	Nyns o res dhymm mos dhe Almayn.
Alas!	Soweth!
That is my brother.	Henn yw ow broder.
I am going, too.	Yth esov vy ow mos, ynwedh.
Where are your parents?	Ple’ma dha gerens?
I walked.	My a wrug kerdhes.
I need to say something.	Res yw dhymm leverel neppyth.
Where is she?	Ple’ma hi?
Come with me.	Deus genev.
I can't eat peanuts.	Ny allav vy dybri know dor.
Why do you want to know?	Prag y fynn'ta godhvos?
The dog is mine.	Yma’n ki dhymmo vy.
The weather is terrible today.	Euthyk yw an gewer hedhyw.
Fish, please.	Pysk, mar pleg.
I cannot see it.	Ny allav vy y weles.
They smoke.	I a wre megi.
Is this your cat?	Yw homma dha gath?
I like to study English.	Da yw genev studhya Sowsnek.
I'm twelve.	Dewdhek bloodh ov.
We will have to do something.	Res vydh dhyn gul neppyth.
The boy is buying a dog.	Yma an maw ow prena ki.
Is that a cat or a dog?	Yw henna kath po ki?
I can swim.	My a yll neuvya.
Hi, friend!	Dydh da, sos!
I'm trying to remember.	Yth esov vy owth assaya perthi kov.
Mennad wants to say something.	Mennad a vynn leverel neppyth.
I was running.	Yth esen vy ow ponya.
Isn't the weather good?	Ass yw da an gewer?
I need to eat.	Res yw dhymm dybri.
You can't leave.	Ny yll'ta diberth.
I hate that cat.	Kas yw genev an gath na.
I want to see!	My a vynn gweles!
We're going.	Yth eson ni ow mos.
Are you coming?	Esos ta ow tos?
I'm Farshad.	Farshad ov.
Do you like my friend?	Yw da genes ow howeth?
She likes ice cream.	Da yw gensi dehen rew.
You don't have to go there.	Nyns yw res dhis mos ena.
He has a cold now.	Yma anwos warnodho lemmyn.
Is this your dog?	Yw hemma dha gi?
What's this?	Pyth yw hemma?
Tom saw it.	Tomm a’n gwelas.
It is very cold today.	Pur yeyn yw hi hedhyw.
I can't stay here.	Ny allav vy gortos omma.
They liked large cars.	Da yw gansa kerri bras.
Tom's dog is white.	Ki Tom yw gwynn.
Do you have to stay?	Yw res dhis gortos?
Is this my wine?	Yw hemma ow gwin?
I don't want to eat here.	Ny vynnav vy dybri omma.
I'm an accountant.	Akontydh ov.
Where do you come from?	A ble’th os ta devedhys?
I want these.	My a vynn an re ma.
Is that French?	Yw henna frynkek?
I like eating cake.	Da y genev dybri tesen.
They lied.	I a leveris gow.
I don't want a dog.	Ny vynnav vy kavos ki.
Where is Laurie?	Ple’ma Laurie?
He can fly.	Ev a yll neyja.
I need to learn French.	Res yw dhymm dyski Frynkek.
Are you married?	Os ta demedhys?
No, I didn't write it.	Na skrifis, ny’n skrifis.
I was sorry.	Drog o genev.
Who was it?	Piw o?
We hate Tom.	Kas yw genen Tom.
Where is the post office?	Ple'ma'n sodhva bost?
Why do you want to know that?	Prag y fynnydh y wodhvos?
We need to eat.	Res yw dhyn dybri.
Is this your beer?	Yw hemma dha gorev?
We left together.	Ni a dhibarthas war-barth.
And you?	Ha ty?
These are animals.	An re ma yw enevales.
I still have a headache.	Yma drog penn dhymm hwath.
You need to leave.	Res yw dhis diberth.
They ran outside.	I a bonyas yn-mes.
I have to run.	Res yw dhymm ponya.
They weren't there.	Nyns esens i ena.
I like that.	Da yw genev henna.
That book is small.	Byghan yw an lyver na.
There were two cakes.	Yma diw desen.
How many books do you have?	Py lies lyver eus dhis?
Here is your dog.	Ottomma dha gi.
Does she like oranges?	Yw da gensi owravalow?
I have to work.	Res yw dhymm oberi.
I am not sure.	Nyns ov sur.
I understand you.	My a’gas konvedh.
I can't work tomorrow.	Ny allav vy oberi a-vorow.
She prepares their food.	Hi a bareusis aga boos.
I don't want to listen to you.	Ny vynnav goslowes orthis.
Tom doesn't like pork.	Nyns yw da gans Tom kig mogh.
I'm eating now.	Yth esov vy ow tybri lemmyn.
I put it in your room.	My a’n gorras y’th roum.
Tom doesn't remember Mary.	Ny borth Tom kov a Varia.
I had to say that.	Res o dhymm leverel henna.
I've seen the dog.	My re welas an ki.
Why do I need to learn French?	Prag yth yw res dhymm dyski Frynkek?
We must do something.	Res yw dhyn gul neppyth.
She likes oranges.	Da yw gensi owravalow.
Do we need to wait for you?	Yw res dhyn gortos ragos?
It rains there.	Hi a wra glaw ena.
Morning!	Myttin da!
I hate dogs.	Kas yw genev keun.
Those are sunflowers.	An re na yw howlvleujen.
Is there a pen on the desk?	Eus pluven war an desk?
I am drinking coffee.	Yth esov vy owth eva koffi.
He's looking at you.	Yma ev ow mires orthowgh.
He has three daughters.	Yma teyr myrgh dhodho.
Tom can't come with us.	Ny yll Tom dos genen.
Tom doesn't like women.	Nyns yw da gans Tom benenes.
I don't want to work today.	Ny vynnav vy oberi hedhyw.
I want to learn.	My a vynn dyski.
I am married and have two children.	Demedhys ov hag yma dhymm dew flogh.
I can't fly.	Ny allav vy nejya.
I can't watch.	Ny allav vy mires orth.
You need to listen to her.	Res yw dhis goslowes orti.
I wanted to go.	My a vynnas mos.
I didn't need to see that.	Nyns o res dhymm gweles henna.
Is that a dog?	Yw henna ki?
Will it rain tomorrow?	A vydh hi glaw a-vorow?
